Autor, Herausgeber oder Institution;Abstract;Jahr ermittelt;Titel;Zeitschrift/Zeitung;Dokumententyp
"van Nieuwerburgh, Stijn; BUELENS, FRANS; Cuyvers, Ludo";This paper investigates the long-term relationship between financial market development and economic development in Belgium. We use a new data set of stock market development indicators to argue that financial market development substantially affected economic growth. We find strong evidence that stock market development caused economic growth in Belgium, especially in the period between 1873 and 1935. Institutional changes affecting the stock exchange explain the time-varying nature of the link between stock market development and economic growth.;2006;Stock market development and economic growth in Belgium;Explorations in Economic History;Zeitschriftenaufsatz
"van Zanden, Jan Luiten; Prak, M.";Citizenship was a key concept in European state formation from the Middle Ages onwards. This article presents an economic interpretation of citizenship. It argues that such a contract increases the efficiency of the exchange between the state and its inhabitants. Next, the concept of citizenship is applied to the political economy of the Dutch Republic, which was an ‘intermediate’ stage in the process of state formation between the medieval commune (with a restricted form of citizenship) and the nation-state of the nineteenth century, when the concept became more inclusive, covering all inhabitants. The article briefly sketches the genesis of the Dutch Republic and identifies some of the key problems of its political economy.;2006;Towards an economic interpretation of citizenship: The Dutch Republic between medieval communes and modern nation-states;European Review of Economic History;Zeitschriftenaufsatz
"Vecchi, Giovanni; Coppola, Michela";We investigate how nutritional status responded to economic growth in Italy during 1861–1911. By combining household-level data on food consumption with population censuses, we estimate that the incidence of undernutrition decreased by at least 15% between 1881 and 1901. Income elasticity of calories in 1901 was in the range of 0.3–0.6, varying inversely with the level income. Overall, our findings do not support the pessimists’ view, ubiquitous in the Italian literature. On the contrary, the early phase of Italian industrialization was beneficial to the bulk of the population, and even more so for the poorest among the poor.;2006;Nutrition and growth in Italy, 1861–1911: What macroeconomic data hide;Explorations in Economic History;Zeitschriftenaufsatz
Virts, Nancy;Many questions have not been answered about the tenant plantations in the twentieth century. This paper uses county level data from special plantation censuses taken in 1910 and 1945 to examine changes in the geographic distribution of plantations and how production was organized on them. Although the percentage of land in tenant plantations went down in the South during this period, it increased in some areas and decreased in others. In the areas where it increased, cotton production also increased. This result suggests that in some circumstances plantations had an advantage over small farms.;2006;Change in the plantation system: American South, 1910–1945;Explorations in Economic History;Zeitschriftenaufsatz
"Volckart, Oliver; WOLF, NIKOLAUS";We estimate a threshold autoregressive model to assess medieval financial integration. Our approach is based on the analysis of deviations between exchange rates and parity, which in a fully integrated market should not exceed bullion points. Hence, the time needed for adjustment, following a violation of the bullion points, is a measure of integration. We apply this approach to exchange between fourteenth- and fifteenth-century Flanders, Lübeck, and Prussia, results showing that whereas it took about eight months to reduce deviations between Flanders and Lübeck by 50 percent, those between Flanders and Prussia were roughly twice as persistent.;2006;Estimating Financial Integration in the Middle Ages: What Can We Learn from a TAR Model?;The Journal of Economic History;Zeitschriftenaufsatz
WARDE, PAUL;"This article examines the engagement of peasant cultivators with the grain market in Germany in the seventeenth century. It demonstrates a differentiated propensity to sell in regard to different grains; a preference among cultivators for retaining subsistence foodstuffs; the importance of payment in kind in the labour market; and the lack of a clear-cut social structural divide between grain sellers and buyers among those who cultivate arable land. It is thus argued that the analytical concept of ?the peasant? retains its use in understanding this society, but that attitudes displayed by the peasantry to ?the market? must be clearly set in the context of the specific product markets and practices to retain any analytical value.";2006;Subsistence and sales: the peasant economy of Württemberg in the early seventeenth century;The Economic History Review;Zeitschriftenaufsatz
WEBER, WARREN E.;This article describes a newly constructed data set of all U.S. state banks from 1782 to 1861. It contains the names and locations of all banks and branches that went into business and an estimate of when each operated. The compilation is based on reported balance sheets, listings in banknote reporters, and secondary sources. Based on these data, the article presents a count of the number of banks and branches in business by state. I argue that my series are superior to previously existing ones for reasons of consistency, accuracy, and timing. The article contains examples to support this argument.;2006;Early State Banks in the United States: How Many Were There and When Did They Exist?;The Journal of Economic History;Zeitschriftenaufsatz
WEBSTER, ANTHONY;This article explores the development of the London East India agency houses during the first half of the nineteenth century, and their evolving commercial and political relationships with merchants and manufacturers in the British provinces. It outlines the emergence of pressure groups in Britain concerned with influencing British economic policy in India and the Far East, and their role in shaping policy as the East India Company receded in importance following the Charter Acts of 1813 and 1833. What emerges is a complex picture of collaboration between interest groups in London and the provinces. This challenges and refines aspects of the gentlemanly capitalism thesis of Cain and Hopkins, which emphasizes both the supremacy of London-based financial and mercantile interests in the formation of British policy towards the empire, and the separateness of City-based ?gentlemanly capitalists? from provincial mercantile and industrial interests.;2006;The strategies and limits of gentlemanly capitalism: the London East India agency houses, provincial commercial interests, and the evolution of British economic policy in South and South East Asia 1800–50;The Economic History Review;Zeitschriftenaufsatz
WELSHMAN, JOHN;Current government policy documents have been concerned with reforming welfare policy, with matching rights with responsibilities, and especially with reducing the numbers of incapacity benefit claimants. This article places these debates in historical perspective, and revises the existing historiography on poverty and unemployment, by exploring the concept of the ?unemployable? in the period 1880?1940. Up to 1914, unemployability embraced those unable and those unwilling to work, and in the 1920s, similar anxieties were reconstructed in the concept of the ?social problem group?. However, interwar social surveys were concerned more with the effects of long-term unemployment in creating unemployability. There are thus both changes and continuities between historical concerns with unemployability, and contemporary anxieties about incapacity benefit and worklessness.;2006;The concept of the unemployable;The Economic History Review;Zeitschriftenaufsatz
WRIGLEY, E. A.;All organic economies were subject to constraints upon growth for reasons familiar to the classical economists, but their relative success in coping with these constraints differed substantially. This is visible both when comparing different areas at the same point in time and when comparing the circumstances of a given economy at different points in time. In this article the state of the English economy in 1300 is compared with its state in 1800. At the former date the balance between output and population was unfavourable. A run of poor harvests spelled grave and widespread suffering. Five hundred years later this had ceased to be true. The particular focus of the article is upon the significance of a rising level of productivity per head in agriculture, not simply in supplying food but in providing the raw materials and energy needed if industry and transport were to expand. In the circumstances of an organic economy both were heavily dependent upon the ?surplus? made available by a productive agriculture after meeting the needs of the population for food.;2006;The transition to an advanced organic economy: half a millennium of English agriculture;The Economic History Review;Zeitschriftenaufsatz
Aldrich, Mark;Locomotive inspection was among the most important Progressive Era federal workplace regulations. Inspection rules were enforced by a new Bureau of Locomotive Inspection, which claimed credit for subsequent safety improvements. Relying on published and unpublished data this article assesses these claims. Literary sources suggest that the bureau achieved compliance by emphasizing regulatory benefits and that its activities sharply reduced locomotive defects through the 1920s, in part by reducing agency problems. A model for 1923–1932 reinforces this conclusion, but suggests that the safety gains came at high cost. After 1932 safety improvements stagnated, for inspection ran out of steam.;2007;Running Out of Steam: Federal Inspection and Locomotive Safety, 1912–1940;The Journal of Economic History;Zeitschriftenaufsatz
Allen, Douglas W.;When George Carmack struck gold in the Yukon territory on 17 August 1896, he freely shared the details and started what would eventually be three waves of rushes. This reflected a social norm of the Klondike, namely that any miner who struck gold would share this information. Miners did not behave this way in other nineteenth-century gold rushes. The article's hypothesis is that the extreme mining conditions and local geography of the Yukon led to very secure property rights over mining claims. Therefore, it took only a small incentive payment to induce miners to act in the social interest.;2007;Information Sharing During the Klondike Gold Rush;The Journal of Economic History;Zeitschriftenaufsatz
"Alvarez-Nogal, Carlos; La Prados De Escosura, Leandro";This article attempts to quantify the decline of Spain over the period 1500–1850. In contrast to earlier estimates that focus almost exclusively on Castilian agriculture, we look at trends in urbanisation and construct new measures of agricultural and aggregate output at both regional and national levels. A distinctive long-run behaviour is found across Spanish regions that rejects the identification between Castile and Spain. Per capita income grew in the sixteenth and early nineteenth centuries, while contraction and stagnation occurred in the seventeenth and eighteenth centuries. In the long run, output per head did not improve until the early nineteenth century. At the time of its imperial expansion Spain was a relatively affluent nation and, by 1590, was only behind the Low Countries and Italy in terms of per capita income. Spain's decline has its roots in the seventeenth century while its backwardness deepened in the first half of the nineteenth century.;2007;The decline of Spain (1500-1850): conjectural estimates;European Review of Economic History;Zeitschriftenaufsatz
"Bates, Robert H.; Coatsworth, John H.; Williamson, Jeffrey G.";Africa and Latin America secured independence from European colonial rule a century and half apart: most of Latin America by the 1820s and most of Africa by 1960. Despite the distance in time and space, they share important similarities. In each case independence was followed by political instability, violent conflict, and economic stagnation lasting for about a half-century. The parallels suggest that Africa might be exiting from a period of postimperial collapse and entering one of relative political stability and economic growth, as did Latin America almost two centuries ago.;2007;Lost Decades: Postindependence Performance in Latin America and Africa;The Journal of Economic History;Zeitschriftenaufsatz
"Benjamin, Daniel K.; Thornberg, Christopher";The British Navy in the age of sail was the most successful bureaucracy of its time. Its organization and incentive structures differed importantly from contemporaneous private sailing ventures, but closely resembled those of today’s large corporations. To induce efficient effort, the navy used a hierarchical tournament, in which sailors competed for higher pay that came with promotions based on relative performance. Promotion probabilities, the option value of future promotions, and the higher effort required of men in higher ranks and on larger vessels, combined to yield a highly skewed pay structure.;2007;Organization and incentives in the age of sail;Explorations in Economic History;Zeitschriftenaufsatz
"Benjamin, Daniel K.; Tifrea, Anca";Between 1660 and 1815 the combat fatality rate among British navy captains fell by 98 percent, even as the combat success of the British Navy rose dramatically. Both developments can be explained as a result of learning by doing among British commanders. This learning was importantly driven by the extensive wartime experience accumulated over this period, combined with the unparalleled financial incentives for combat success offered to British commanders.;2007;Learning by Dying: Combat Performance in the Age of Sail;The Journal of Economic History;Zeitschriftenaufsatz
Bodenhorn, Howard;Few pieces of economic regulation are ubiquitous as usury limits. Similarly, few economic principles are as widely accepted as the belief that interference with freely contracted prices leads to market distortions, and many studies of financial markets find that usury limits negatively affect credit availability. This study shows that when no regulatory authority monitors and stands ready to punish violators of the usury limit when intermediaries and borrowers form long-term relationships, banks and borrowers regularly contract for interest rates in excess of the usury ceiling. Time-series analysis reveals limited effects on credit availability when market rates exceed the usury ceiling. Cross-sectional analysis of individual loan contracts also shows that the positive effect of a long-term relationship offsets the negative effect of the usury limit on credit availability.;2007;Usury ceilings and bank lending behavior: Evidence from nineteenth century New York;Explorations in Economic History;Zeitschriftenaufsatz
BOOTH, ANNE;The article examines aspects of government policy in different parts of colonial south-east Asia, and in nominally independent Siam (Thailand) in the first four decades of the twentieth century. The emphasis is on taxation and expenditure policies, and their implications for the development of infrastructure and also for the welfare of indigenous populations. Attention is also given to the impact of government regulation of both factor and product markets. On the basis of the empirical evidence, the article argues that the traditional view of the colonial state as a ?night watchman? was not applicable to most parts of south-east Asia after 1900. Governments were increasingly involved in implementing policies that today would be considered developmental, including building infrastructure and improving access to secular education and modern health care for the indigenous populations. But given the resources that they had, or had the potential to mobilize, more could have been achieved.;2007;Night watchman, extractive, or developmental states? Some evidence from late colonial south-east Asia;The Economic History Review;Zeitschriftenaufsatz
"Bordo, Michael D.; Hautcoeur, Pierre-Cyrille";"We show that, because the cost of the war had been so high in France, the size of the French public debt, the budget deficit and the monetary overhang made it impossible to stabilise immediately after World War I, even on the anti-Keynesian assumption that a stabilisation would have had no negative effects on income. The reason for the immediate postwar inflation was then not mismanaged policy but a wise choice in the French context; nevertheless, a stabilisation was historically possible from early 1924, and it would most likely have benefited not only France but the entire international monetary system.";2007;Why didn't France follow the British stabilisation after World War I?;European Review of Economic History;Zeitschriftenaufsatz
"Broadberry, Stephen N.; Burhop, Carsten";This article provides a new benchmark estimate of comparative Germany/U.K. labor productivity in manufacturing for circa 1907, and experiments with alternative German manufacturing production indices for time series projection from a circa 1935 benchmark. A consistent picture of broadly similar levels of manufacturing labor productivity in Britain and Germany throughout the period 1871–1938 is established. We also show that a substantial German productivity lead had already emerged in heavy industry by 1907, but was offset by a substantial British productivity lead in light industry. For the pre-1914 period, an additional check is provided using nominal income-based estimates.;2007;Comparative Productivity in British and German Manufacturing Before World War II: Reconciling Direct Benchmark Estimates and Time Series Projections;The Journal of Economic History;Zeitschriftenaufsatz
"Brown, John C.; Guinnane, Timothy W.";Much empirical social-science research, including work in economic and demographic history, has relied on the analysis of published information on administrative districts. One famous example of this type of research, the Princeton Project on the Decline of Fertility in Europe (EFP), was carried out at Princeton University?s Office of Population Research in the 1960s and 1970s. This project aimed to characterize the decline of fertility that took place in Europe during the nineteenth and early twentieth centuries. The project?s summary statements argued that social and economic forces played little role in bringing about the fertility transition. A central feature of the EFP argument is a series of statistical exercises which purport to show that changes in economic and social conditions exerted little influence on fertility. Two recent articles on Germany for this period have used similar data and methods to draw different conclusions. We show that the difference reflects problems in the Princeton project?s statistical methods. Those problems affect, potentially, virtually all quantitative research of this type. Our findings suggest cautious re-thinking of conclusions based on this type of evidence, starting with the EFP.;2007;Regions and time in the European fertility transition: problems in the Princeton Project’s statistical methodology;The Economic History Review;Zeitschriftenaufsatz
BROWNLOW, GRAHAM;Northern Ireland?s economic performance during the ?golden age? was weak. Crafts suggested that rent-seeking was an important determinant of this poor record. This article offers support for such a conclusion. It is suggested that the growth record was shaped by British regulations preventing conflicts of ministerial interest not being made operational until 1963. This institutional divergence tended to promote rent-seeking behaviour, which impeded the pursuit of an industrial policy that could promote economic efficiency. In 1963 the institutional structure and the industrial policy framework changed. These changes stimulated the pursuit of efficiency and contributed to an improved regional economic performance.;2007;The causes and consequences of rent-seeking in Northern Ireland, 1945–72;The Economic History Review;Zeitschriftenaufsatz
Brunt, Liam;This article presents the first systematic analysis of off-farm sources of nitrogen, such as urban and industrial waste, used in English agriculture during the industrial revolution, arguing that their use was widespread and intensive by 1700 and that there was only modest growth in their use up to 1840. It explains the pattern of use by supply and demand factors, and develops a new method to estimate the overall impact on wheat yields. It estimates that throughout the period 1700?1840 yields were 20 per cent higher than they would have been if no off-farm manures had been used.;2007;Where there’s muck, there’s brass: the market for manure in the industrial revolution;The Economic History Review;Zeitschriftenaufsatz
Calvo-Gonzalez, Oscar;The security of property rights is fragile under dictatorships. This is particularly so if economic agents are uncertain as to whether the regime will last. As a result, private investment is withheld and economic performance is poor. Spain was in such a situation after World War II. However, as the Cold War intensified the United States became interested in Spain as a military ally, thereby helping to consolidate Franco's regime. This led to an increase in economic confidence and helps to explain why economic growth resumed in Spain ahead of significant changes in its autarkic economic policies.;2007;American Military Interests and Economic Confidence in Spain under the Franco Dictatorship;The Journal of Economic History;Zeitschriftenaufsatz
"Caruana, Leonard; Rockoff, Hugh";"During World War II the Allies controlled Spain's oil supply in order to limit Spain's support for the Axis. This experiment with sanctions is unusually informative because a wide range of policies was tried over a long period. Three episodes are of special interest: (1) a total embargo on oil for Spain in August 1940 that was surprisingly successful in dissuading Spain from joining the Axis; (2) a period of reduced supplies in 1941–42, which we call ‘the Squeeze’, that was only partially successful in reversing Spanish policies favouring the Axis; and (3) a second total embargo early in 1944, which proved a disappointment for the Allies, and that produced a rift between Churchill and Roosevelt. Our analysis is based on new monthly estimates of Spain's imports of gasoline and other petroleum products that we describe in the text and report in the Appendix. These estimates allow us to draw a clearer picture of the oil sanctions than has been possible in the past.";2007;An elephant in the garden: The Allies, Spain, and oil in World War II;European Review of Economic History;Zeitschriftenaufsatz
Casari, Marco;This article examines changes in institutions that protected property rights in the Alps between the thirteenth and the nineteenth century and, in particular, alternative management systems adopted for the common pastures and forests in about 200 communities. Over time, private-order institutions in the form of charters replaced informal arrangements sustained by the long-run interaction among villagers. Although costly to run, the charters accomplished several tasks that increased resource use efficiency.;2007;Emergence of Endogenous Legal Institutions: Property Rights and Community Governance in the Italian Alps;The Journal of Economic History;Zeitschriftenaufsatz
"CICCARELLI, CARLO; FENOALTEA, STEFANO";Band-pass filters and structural time-series models are applied to the new estimates of Italy’s domestic product from 1861 to 1913. These indicate a strong four-year cycle, derived from the agricultural sector, which curiously (and perhaps spuriously) vanishes after 30 years. Over the longer term GDP and the services reflect the long swing in industrial production, tied to the investment cycle. Agriculture seems marked instead by a further cycle of some 12–15 years, and also by a long wave related to the sector’s terms of trade.;2007;Business fluctuations in Italy, 1861–1913: The new evidence;Explorations in Economic History;Zeitschriftenaufsatz
Clark, Gregory;The article forms three series for English farm workers from 1209?1869: nominal day wages, the implied marginal product of a day of farm labour, and the purchasing power of a day?s wage in terms of farm workers? consumption. These series suggest that labour productivity in English agriculture was already high in the middle ages. Furthermore, they fit well with one method of estimating medieval population that suggests a peak English population c.1300 of nearly 6 million. Lastly, they imply that both agricultural technology and the general efficiency of the economy were static from 1250 till 1600. Economic changes were in these years entirely a product of demographic shifts. From 1600 to 1800, technological advance in agriculture provided an alternative source of dynamism in the English economy.;2007;The long march of history: Farm wages, population, and economic growth, England 1209–1869;The Economic History Review;Zeitschriftenaufsatz
"Clark, Gregory; Jacks, David S.";How important was coal to the Industrial Revolution? Despite the huge growth of output, and the grip of coal and steam on the popular image of the Industrial Revolution, recent cliometric accounts have assumed coalmining mattered little to the Industrial Revolution. In contrast both E. A. Wrigley and Kenneth Pomeranz have made coal central to the story. This article constructs new series on coal rents, the price of coal at pithead and at market, and the price of firewood, and uses them to examine this issue. We conclude coal output expanded in the Industrial Revolution mainly as a result of increased demand rather than technological innovations in mining. But that expansion could have occurred at any time before 1760. Further, our coal rents series suggests that English possession of coal reserves made a negligible contribution to Industrial Revolution incomes.;2007;Coal and the Industrial Revolution, 1700-1869;European Review of Economic History;Zeitschriftenaufsatz
COHN, JR, SAMUEL;The Black Death spurred monarchies and city-states across much of Western Europe to formulate new wage and price legislation. These legislative acts splintered in a multitude of directions that to date defy any obvious patterns of economic or political rationality. A comparison of labour laws in England, France, Provence, Aragon, Castile, the Low Countries, and the city-states of Italy shows that these laws did not flow logically from new post-plague demographics and economics?the realities of the supply and demand for labour. Instead, the new municipal and royal efforts to control labour and artisans? prices emerged from fears of the greed and supposed new powers of subaltern classes and are better understood in the contexts of anxiety that sprung forth from the Black Death?s new horrors of mass mortality and destruction, resulting in social behaviour such as the flagellant movement and the persecution of Jews, Catalans, and beggars.;2007;After the Black Death: labour legislation and attitudes towards labour in late-medieval western Europe;The Economic History Review;Zeitschriftenaufsatz
Coleman, Andrew;This paper argues that bilateral spatial price models do not estimate bilateral transactions costs when trade with third cities is important. The paper examines trans-Atlantic gold arbitrage during the gold standard era by assembling a database indicating when trans-Atlantic gold shipments occurred. It shows that two-way gold shipments between New York and London frequently occurred prior to 1901. However, in 1901 gold shipments to London ceased and were replaced by triangular arbitrage shipments through Paris. Consequently, New York and London gold price data cannot be used to estimate New York–London transactions costs after 1901, as no trade took place.;2007;The pitfalls of estimating transactions costs from price data: Evidence from trans-Atlantic gold-point arbitrage, 1886–1905;Explorations in Economic History;Zeitschriftenaufsatz
Colistete, Renato P.;After World War II Brazil experienced exceptionally high economic growth, ranking tenth among the largest economies by 1960. Yet evidence shows that real wages lagged far behind productivity, especially from 1956, the heyday of “developmentalism”—an economic ideology aimed at state-led, accelerated industrialization, with foreign and domestic private capital as active partners. The outcome diverged from that of the “social compact for growth,” the cornerstone of the “golden age” in Europe and Japan. A key reason was that in Brazil left-wingers controlled the main trade unions and pushed an agenda of social reform that was widely rejected by industrialists.;2007;Productivity, Wages, and Labor Politics in Brazil, 1945–1962;The Journal of Economic History;Zeitschriftenaufsatz
"Collins, William J.; Margo, Robert A.";In the 1960s many American cities experienced violent, race-related civil disturbances. This article examines census data from 1950 to 1980 to measure the riots' impact on the value of central-city residential property, and especially on black-owned property. Both OLS and IV estimates indicate that the riots depressed the median value of black-owned property between 1960 and 1970, with little or no rebound in the 1970s. Census tract data for a small number of cities suggest relative losses of population and property value in tracts that were directly affected by riots compared to other tracts in the same cities.;2007;The Economic Aftermath of the 1960s Riots in American Cities: Evidence from Property Values;The Journal of Economic History;Zeitschriftenaufsatz
"Collins, William J.; Smith, Fred H.";We undertake a case study of riots in the context of Cleveland’s economic decline between 1950 and 1980. Our empirical perspective emphasizes differential changes in property values and population levels across census tracts depending on their proximity to the riots’ epicenter. We find patterns that are consistent with concentrated, negative, and long-lasting effects from the 1960s riots. The negative relationship between riots and property value trends is not merely a reflection of the pre-existing trend in value, the pre-riot racial composition of the neighborhoods, the pre-riot proportion of neighborhood residents holding manufacturing jobs, the neighborhood crime rate, nor changes in the observable characteristics of the housing stock. We suggest that the impact of the riots was compounded by long-run forces that were already eroding Cleveland’s economic base.;2007;A neighborhood-level view of riots, property values, and population loss: Cleveland 1950–1980;Explorations in Economic History;Zeitschriftenaufsatz
"Crafts, Nicolas F. R.; Mills, Terence C.; MULATU, ABAY";This paper revisits the issue of the productivity performance of Britain’s railways with an improved dataset and modern cliometrics. We find a slowdown in TFP growth between 1850 and 1870, after which it stabilized at about 1.1%. An analysis of company-level productivity performance reveals large discrepancies in TFP growth and substantial cost inefficiency. The evidence suggests that there was managerial failure in companies with agency problems in a context of collusion and high entry barriers. A wider implication is that the neoclassical exoneration of late-Victorian British management may be less convincing for the services sector than for manufacturing.;2007;Total factor productivity growth on Britain’s railways, 1852–1912: A reappraisal of the evidence;Explorations in Economic History;Zeitschriftenaufsatz
Cuenca-Esteban, Javier;The East India Company’s “regulated” trade monopoly more effectively served Britain’s national interest during the French wars than might be inferred from contemporary complaints and recent scholarship. The Board of Control’s assessment of India’s importance to the British balance of payments in the 1780s was well informed and was borne out by subsequent developments. British net inflows from India remained substantial through 1765–1812 and were arguably least dispensable. British trade with Asia most frequently outgrew the worldwide totals and retained some of the acquired gains to the end of the period. The real constraints faced by private traders should be weighed against the external economies and scale advantages rendered by the East India Company to a wider range of British interests.;2007;India’s contribution to the British balance of payments, 1757–1812;Explorations in Economic History;Zeitschriftenaufsatz
David, Paul A.;This introduction to the concept of path dependence, its pertinence for the development of historical social science, and its application in economic analysis and economic history, proceeds from intuitive general ideas about history and historicity in narratives. It provides precise definitions of what is meant by describing a dynamical process as being “historical.” Deterministic and stochastic formalizations of such dynamical systems are distinguished. The characterization of stochastic path dependent processes as “non-ergodic” is explained in non-mathematical language by reference to concepts in probability theory, and a variety of representations of such processes in formal models is surveyed (including the Polya urn-process, certain kinds of Markov chain models, branching processes, and reversible spin systems) to show that while all display path dependence, their properties in other respects are quite different. The diverse set of structural, micro-level conditions that can give rise to path dependence is examined, and a further distinction is drawn between the property of path dependence and the existence of so-called “QWERTY-effects”—characterized by decentralized competitive market failures and consequent “lock-in” to Pareto-inefficient equilibria. Concluding sections consider the implications of the existence of non-ergodic dynamics for the methods of economic policy analysis, and the nature of the guidance that can be obtained in regard to public policy affecting endogenous technological change and institutional evolution.;2007;Path dependence: a foundational concept for historical social science;Cliometrica;Zeitschriftenaufsatz
"Davis, Lance E.; Neal, Larry; White, Eugene Nelson";During the 1920s the New York Stock Exchange's position as the dominant American exchange was eroding. Costs to customers, measured as bid-ask spreads, spiked when surging inflows of orders collided with the constraint created by a fixed number of brokers. The NYSE's management proposed and the membership approved a 25 percent increase in the number of seats by issuing a quarter-seat dividend to all members. An event study reveals that the aggregate value of the NYSE rose in anticipation of improved competitiveness. These expectations were justified as bid-ask spreads became less sensitive to peak volume days.;2007;The Highest Price Ever: The Great NYSE Seat Sale of 1928–1929 and Capacity Constraints;The Journal of Economic History;Zeitschriftenaufsatz
"Demeulemeester, Jean-Luc; Diebolt, Claude";Is cliometrics a discipline that could help economists to close the gap between theory and empirical analysis? For many authors, and certainly many of its protagonists, cliometrics appears to be first of all a new branch of history, using economic theories, tools and techniques to provide answers mainly to historiographical debates and not so much to economic debates per se. Could nevertheless this discipline help economists to come closer to physics by enabling them to discover true laws in economics? More modestly some recent work in cliometrics performed by economists (stricto sensu) reveals the possibility of cliometrics to be an auxiliary discipline of economics (and not solely of history). As such, it should form part of the basic toolkit of all properly educated economists. In this paper we give a survey on the key methodological issue of existence (and type) of laws in economics and the proper role that could be assigned to cliometrics to best serve the development of economics in this perspective.;2007;How much could economics gain from history: the contribution of cliometrics;Cliometrica;Zeitschriftenaufsatz
"Dennison, Tracy K.; OGILVIE, SHEILAGH";The ?horizontal? social capital generated by networks and communities is widely regarded as inherently antagonistic to ?vertical? hierarchies such as serfdom. This article examines this view using evidence from pre-Emancipation Bohemia and Russia. It finds that serf communes generated a substantial ?social capital? of shared norms, common information, and collective sanctions. But communal social capital was manipulated by village elites who collaborated with overlords in taxation, land regulation, and demographic control. This benefited communal oligarchies, but harmed ordinary serfs and the wider economy. Horizontal social capital and vertical hierarchies, the article demonstrates, can as easily collude as conflict.;2007;Serfdom and social capital in Bohemia and Russia;The Economic History Review;Zeitschriftenaufsatz
DOMENECH, JORDI;This paper studies the decline of the working day in Spain from 1885 to 1920. The decline was more continuous than previously thought. Differences in hours reinforce wage differentials, showing labor markets were not well integrated. Cross-sectional and time-series analysis suggests that hour reductions reflect a labor supply rather than a labor demand effect. Given the comparatively slow growth of real wages in Spain from 1870 to 1920, the Spanish case shows that international convergence in hours of work must have been stronger than convergence in wages.;2007;Working hours in the European periphery: The length of the working day in Spain, 1885–1920;Explorations in Economic History;Zeitschriftenaufsatz
Drelichman, Mauricio;The widespread ennoblement of the Spanish bourgeoisie in the Early Modern period has been traditionally considered one of the main causes of the “crisis of the seventeenth century.” Using a new time series of nobility cases I provide the first quantitative assessment of Castilian ennoblement. Contrary to established scholarship, I find that the tax exemptions cannot alone explain the flight to privilege. My data show that the central motivation behind ennoblement was to gain control of local governments. Although ennoblement reflected a high level of redistributive activity, there is no evidence linking it to economic stagnation in Spain.;2007;Sons of Something: Taxes, Lawsuits, and Local Political Control in Sixteenth-Century Castile;The Journal of Economic History;Zeitschriftenaufsatz
DUPONT, BRANDON;Contagious bank runs, which spread to both solvent and insolvent banks, should not occur if bank-specific information is provided regularly to the banking public. By mitigating the information asymmetry between banks and depositors, information should restrict runs to insolvent banks. However, official bank statements collected from quarterly reports to local newspapers in Kansas demonstrate that runs did become contagious in the 1893 panic even in an information-rich banking system. Important differences between national and non-national banks were also found, which suggests the maturity of the regulatory system may have played an important role in the panic.;2007;Bank runs, information and contagion in the panic of 1893;Explorations in Economic History;Zeitschriftenaufsatz
Eckard, E. Woodrow;This paper studies a unique 1901 data set containing prices of three products obtained from grocery stores in over 1400 cities nationwide. A striking characteristic is a high concentration of retail prices at relatively few “even” numbers. I propose a novel transactions cost explanation for this phenomenon on which existing theory is silent. In particular, grocers selected prices that simplified the task of toting up customer bills by hand and reduced related costs. As stores independently adopted this strategy across the country, prices converged to a few even numbers. Several empirical regularities for all three products are consistent with this explanation. An important implication is that preferences for computationally convenient prices would have made prices “sticky.” An independent study of price flexibility circa 1890 supports this hypothesis. The underlying data show price concentration patterns similar to the 1901 data, suggesting that the phenomenon covered a wide range of products.;2007;Retail price concentration, transaction costs, and price flexibility circa 1900;Explorations in Economic History;Zeitschriftenaufsatz
"Eichengreen, Barry; Hatase, Mariko";We analyze the impact of Japan’s exit from its currency peg in 1971. We identify sizeable effects on Japanese exports and investment but find that the negative impacts on the economy were neutralized by strong global demand and domestic fiscal support. While our analysis suggests that a rapidly-growing, export-oriented economy can exit a peg for a managed float despite the presence of capital controls and the absence of sophisticated foreign currency forward markets, it underscores the importance of exiting while global conditions are favorable and points to the importance of using fiscal policy to support domestic demand as the rise in the real exchange rate slows the growth of net exports and investment.;2007;Can a rapidly growing export-oriented economy exit smoothly from a currency peg? Lessons from Japan’s high-growth era;Explorations in Economic History;Zeitschriftenaufsatz
Eloranta, J.;The purpose of this article is to re-evaluate the military spending dynamics leading to the First World War, namely to explore the impact of the declining military and economic leadership of the UK and the economic emergence of the USA. Individual countries responded to threats from perceived enemies and spillovers from potential allies rationally, yet often going beyond the bounds of traditional alliances. In a sixteen-country system, the military reticence of the UK and USA encouraged higher military spending by other states, which suggests that Germany was not responsible for the arms race alone. Aggregate systemic military spending also incurred higher individual spending levels, whereas alliance impacts were not consistent.;2007;From the great illusion to the Great War: Military spending behaviour of the Great Powers, 1870-1913;European Review of Economic History;Zeitschriftenaufsatz
